iter	RMSE
217	0.09183978652
218	0.09161653264
219	0.09152210316
220	0.09143043913
221	0.09132272977
222	0.09124291576
223	0.09107026745
224	0.09088711557
225	0.09084732907
226	0.09069595404
227	0.09064806239
228	0.090557609
229	0.0903471614
230	0.09030164107
231	0.09021219854
232	0.09001925827
233	0.08994749063
234	0.08987017734
235	0.0898030625
236	0.08971885504
237	0.08953420938
238	0.08950169796
239	0.08936586178
240	0.08924791808
241	0.08907347261
242	0.08902183023
243	0.08884187326
244	0.08870036309
245	0.0885220854
246	0.08849115973
247	0.08828656941
248	0.08820929866
249	0.08813882331
250	0.08807734475
251	0.08783307869
252	0.08779762324
253	0.08773728955
254	0.08767617931
255	0.08754927398
256	0.08748429147
257	0.08718857202
258	0.08706753884
259	0.0870201393
260	0.08698615093
261	0.08683575686
262	0.08662823894
263	0.08643133017
264	0.08637465761
265	0.08635065778
266	0.08602665943
267	0.08599412578
268	0.08572534961
269	0.08565021295
270	0.08561947189
271	0.08541817418
272	0.08524397646
273	0.08504058585
274	0.0849667302
275	0.08491167037
276	0.08474116481
277	0.08472074815
278	0.08457076505
279	0.08437019734
280	0.0841657552
281	0.0841373979
282	0.08391643005
283	0.08370972047
284	0.08367745853
285	0.0835477011
286	0.08349331795
287	0.08337293945
288	0.0831153727
289	0.08307514706
290	0.08296440383
291	0.0827854138
292	0.08272896821
293	0.08270687025
294	0.08252441403
295	0.08240295311
296	0.08228810905
297	0.08223550832
298	0.08211869397
299	0.08202691615
300	0.08200823206
301	0.08184140324
302	0.08168650621
303	0.08141605356
304	0.08139448284
305	0.08129258943
306	0.08118065718
307	0.08107918372
308	0.08106287703
309	0.08092915537
310	0.08079857117
311	0.08063168234
312	0.08061275213
313	0.08056171544
314	0.08054617317
315	0.08053004652
316	0.08049031134
317	0.08046677647
318	0.08029550179
319	0.08016374801
320	0.0800701929
321	0.07992657543
322	0.07982461946
323	0.0797235166
324	0.07969131288
325	0.07955298607
326	0.07946233658
327	0.0793659245
328	0.07927844179
329	0.0791160963
330	0.07907044991
331	0.07900942227
332	0.07899144086
333	0.07880715484
334	0.07863562227
335	0.07862238291
336	0.07859520273
337	0.07845138349
338	0.07833187144
339	0.07825333612
340	0.0781905475
341	0.07816309279
342	0.07806664238
343	0.07787391263
344	0.07774544112
345	0.07762800129
346	0.07760402106
347	0.07753496334
348	0.07742412223
349	0.07729332065
350	0.07707733396
351	0.07690511624
352	0.07688150414
353	0.07680446984
354	0.07662931242
355	0.0766150002
356	0.07652959121
357	0.07646520207
358	0.07644951872
359	0.07633037087
360	0.07623283182
361	0.07608003913
362	0.07606599718
363	0.07605181845
364	0.07603895813
365	0.07583438921
366	0.07580246007
367	0.07569636443
368	0.07564024933
369	0.07549446563
370	0.07527587486
371	0.07515662406
372	0.07503452052
373	0.07489425367
374	0.07481787385
375	0.074733278
376	0.07456892827
377	0.07445871472
378	0.07435714876
379	0.07430804647
380	0.07426142794
381	0.07421406117
382	0.07418101741
383	0.07395138312
384	0.07376691395
385	0.07364244072
386	0.07352743637
387	0.07348953158
388	0.07347857283
389	0.07329982338
390	0.0730914757
391	0.07288232469
392	0.07280576161
393	0.07273795488
394	0.07262873768
395	0.07261564562
396	0.0725786012
397	0.07256694449
398	0.07245645804
399	0.07244363408
400	0.07240027492
401	0.07224297863
402	0.07223161479
403	0.07209582156
404	0.07198736399
405	0.07196226436
406	0.07188742126
407	0.07187746161
408	0.07179398333
409	0.0717641766
410	0.071755308
411	0.0717392314
412	0.07165009767
413	0.0715691201
414	0.07150001403
415	0.07141954909
416	0.07139241902
417	0.07135313334
418	0.07121358206
419	0.07116758421
420	0.07107588373
421	0.07104850284
422	0.07103972122
423	0.07103091478
424	0.07087493091
425	0.07086679201
426	0.07084968151
427	0.07082157819
428	0.07071735506
429	0.07064069463
430	0.07063064135
431	0.07056041395
432	0.07044045605
433	0.07038604058
434	0.07025296173
435	0.07014025541
436	0.07005968098
437	0.06992236064
438	0.0698419206
439	0.06975948394
440	0.06967872003
441	0.06962960744
442	0.0695901594
443	0.06951582835
444	0.06950917997
445	0.06935633645
446	0.06933416085
447	0.06919967644
448	0.06902551828
449	0.0689415108
450	0.0688583107
451	0.06885007325
452	0.06881408122
453	0.06873815964
454	0.06868937287
455	0.06866168854
456	0.06862781575
457	0.06847414959
458	0.06841225963
459	0.06826429583
460	0.0682565472
461	0.06820368863
462	0.06817081443
463	0.06804640475
464	0.06802067672
465	0.06801377525
466	0.06790644888
467	0.06777328342
468	0.06774287331
469	0.06773673854
470	0.06767456438
471	0.0675902498
472	0.0675379239
473	0.06749637246
474	0.06744158957
475	0.0673203578
476	0.0672936858
477	0.06720995801
478	0.06715293135
479	0.0670794037
480	0.06703913888
481	0.06697885353
482	0.06685784036
483	0.06674757672
484	0.066668267
485	0.06653630286
486	0.06646165743
487	0.06638455276
488	0.06632057737
489	0.06630945369
490	0.06617812215
491	0.06611140561
492	0.06610451091
493	0.06602346895
494	0.06599511704
495	0.0659726834
496	0.06592020172
497	0.06581857827
498	0.06567646308
499	0.06561369394
500	0.06558245758
501	0.06555124774
502	0.06546419407
503	0.06542733297
504	0.06538509544
505	0.06532423866
506	0.06526127258
507	0.06517854155
508	0.065078332
509	0.06505040489
510	0.06501569325
511	0.06499061332
512	0.06493304247
513	0.06480895339
514	0.064725371
515	0.0647194212
516	0.06457571446
517	0.06448102345
518	0.06442538793
519	0.06431046151
520	0.0641611187
521	0.06407859509
522	0.06402040805
523	0.06400839883
524	0.06387945709
525	0.06375311177
526	0.06374759288
527	0.06371469551
528	0.06370943068
529	0.06356668864
530	0.06355072941
531	0.06341772408
532	0.06334190245
533	0.06327737303
534	0.06325583361
535	0.06311592294
536	0.06309072816
537	0.06308487951
538	0.06295657605
539	0.06283886885
540	0.06274992493
541	0.06259455063
542	0.06247874668
543	0.06246929166
544	0.06236524212
545	0.06233815598
546	0.06224759295
547	0.06218411868
548	0.06209427215
549	0.06199436049
550	0.06192731097
551	0.06186234006
552	0.06185460195
553	0.06180756279
554	0.06175939808
555	0.06169911403
556	0.06166859519
557	0.06158275855
558	0.06153039705
559	0.06141388203
560	0.06130804832
561	0.06126175689
562	0.06121575214
563	0.06114577085
564	0.06112143769
565	0.06101994969
566	0.0609044854
567	0.06081360305
568	0.06071197413
569	0.06064161669
570	0.06056759124
571	0.06043877921
572	0.06038296592
573	0.06036947632
574	0.06024998138
575	0.0601542564
576	0.06014914692
577	0.06009664672
578	0.06000212748
579	0.05993542175
580	0.05990380367
581	0.05982551796
582	0.0598062431
583	0.05976214276
584	0.05964854098
585	0.05959210443
586	0.05955091926
587	0.05947342695
588	0.05945037001
589	0.05939514126
590	0.05934120173
591	0.0592170656
592	0.0591080114
593	0.05904030217
594	0.05896320449
595	0.05882514213
596	0.05874887586
597	0.05869923286
598	0.05857537111
599	0.05851634994
600	0.05846336408
601	0.05842502057
602	0.0583979755
603	0.05837432651
604	0.05829238712
605	0.05823619517
606	0.05823131287
607	0.0582268309
608	0.05817537229
609	0.05806660696
610	0.05805890266
611	0.05800872229
612	0.05796610983
613	0.0578660475
614	0.05786226458
615	0.05784554215
616	0.05777696383
617	0.05771832304
618	0.05763960063
619	0.05757405472
620	0.05748642092
621	0.05743390997
622	0.05741710733
623	0.0573301567
624	0.05728754996
625	0.05722985266
626	0.05711074481
627	0.05706911508
628	0.05698209655
629	0.05693291365
630	0.05692143687
631	0.05681960198
632	0.05670383028
633	0.05666272294
634	0.05654711481
635	0.0564821654
636	0.05647683807
637	0.05644169833
638	0.05635057155
639	0.05625261294
640	0.05616461819
641	0.05616073913
642	0.05611389505
643	0.05609260869
644	0.05602387417
645	0.05597362698
646	0.05592593923
647	0.0558660034
648	0.05580859076
649	0.05571193404
650	0.05566292546
651	0.05564026653
652	0.05553100498
653	0.05544364466
654	0.05535586287
655	0.05527516807
656	0.0552133386
657	0.05512916295
658	0.05507629917
659	0.05501979128
660	0.05493638166
661	0.05490776054
662	0.05489082335
663	0.0548414274
664	0.05474530269
665	0.05467915204
666	0.0545948453
667	0.05455896499
668	0.05454009103
669	0.05446661982
670	0.05437646334
671	0.05427972742
672	0.0541911727
673	0.05412945571
674	0.05410125608
675	0.05408219963
676	0.05402965898
677	0.05400303892
678	0.05390238388
679	0.05381156424
680	0.05376067267
681	0.05371277385
682	0.05368199597
683	0.05363946237
684	0.05363404224
685	0.05353922489
686	0.05350305185
687	0.05341954025
688	0.05333375131
689	0.0532738983
690	0.05325265106
691	0.05319607451
692	0.05319036445
693	0.05312129091
694	0.05302790855
695	0.05301722581
696	0.05296692193
697	0.05288811594
698	0.0528032413
699	0.05269440233
700	0.052629116
701	0.0525490099
702	0.05253107457
703	0.05247008842
704	0.05245559605
705	0.05234757113
706	0.05228833121
707	0.05222211583
708	0.05218492489
709	0.05212035829
710	0.0520266773
711	0.05200560601
712	0.05195075387
713	0.05185762517
714	0.05181734952
715	0.05175973591
716	0.05169039388
717	0.05163389754
718	0.05158347062
719	0.05149877233
720	0.05146534802
721	0.05139004448
722	0.05136656796
723	0.05132976227
724	0.05130601339
725	0.0511903095
726	0.05118158671
727	0.05112337399
728	0.05109392088
729	0.05100771283
730	0.05099042661
731	0.05092842292
732	0.05084398764
733	0.05081253788
734	0.05078051265
735	0.05066142156
736	0.05056934528
737	0.05047425344
738	0.05046905893
739	0.05034433965
740	0.0503413146
741	0.05026749907
742	0.05018651458
743	0.05011287675
744	0.05001241998
745	0.0499078819
746	0.04986583314
747	0.04983437514
748	0.04974117351
749	0.04968625881
750	0.04964065497
751	0.04961139467
752	0.04956458395
753	0.04954529829
754	0.04950882247
755	0.04949005987
756	0.04944450707
757	0.04939932645
758	0.04934800054
759	0.04926924158
760	0.04924952701
761	0.04916441069
762	0.04908341968
763	0.04905124006
764	0.04893753856
765	0.04884315606
766	0.0488020216
767	0.04873434973
768	0.04865701438
769	0.04861548898
770	0.04853628927
771	0.04847763984
772	0.04840141993
773	0.04837952712
774	0.04832186358
775	0.04824014901
776	0.04820847466
777	0.04820586354
778	0.04819141864
779	0.04816727403
780	0.04816356226
781	0.04815292495
782	0.04803214265
783	0.04798765064
784	0.04796683324
785	0.0479307364
786	0.04791186931
787	0.04787357228
788	0.0478091652
789	0.04776445784
790	0.0476820992
791	0.04763110326
792	0.04758502949
793	0.04754242642
794	0.04744827658
795	0.04738309948
796	0.04734285015
797	0.04729637227
798	0.04722424204
799	0.04711955909
800	0.04708346628
801	0.04704418785
802	0.04703152519
803	0.04696114416
804	0.04689374367
805	0.0468654704
806	0.04682408534
807	0.04677133786
808	0.04673738969
809	0.04668437946
810	0.04657800398
811	0.04652181516
812	0.04646289654
813	0.0464371261
814	0.04641233142
815	0.04634878285
816	0.04633987329
817	0.04628825374
818	0.04623955893
819	0.04619281495
820	0.04619024184
821	0.04615166502
822	0.0461341391
823	0.04612580425
824	0.04603622593
825	0.04597118853
826	0.04593331012
827	0.04588960953
828	0.04584452601
829	0.04580315862
830	0.0457409607
831	0.04566098137
832	0.04554465502
833	0.04553154946
834	0.04546342252
835	0.04539503927
836	0.04533350305
837	0.04529279232
838	0.04522626652
839	0.04522371657
840	0.04518097038
841	0.04514609195
842	0.04508678303
843	0.04503865829
844	0.04499222346
845	0.04494929321
846	0.04492945
847	0.04485699814
848	0.04479250239
849	0.0447494033
850	0.04474166519
851	0.04468087086
852	0.04464601126
853	0.04454159484
854	0.04448938227
855	0.04441670115
856	0.04437316174
857	0.04428497363
858	0.04425312033
859	0.04423288385
860	0.04414754254
861	0.0440614197
862	0.04401343397
863	0.04396357971
864	0.04388852313
865	0.04385489331
866	0.04379346488
867	0.04372950568
868	0.04367705746
869	0.04365054559
870	0.04359930551
871	0.04358308261
872	0.0435217524
873	0.0434875024
874	0.04344916063
875	0.04341713301
876	0.0433608564
877	0.04332745775
878	0.04329211594
879	0.04325471407
880	0.04324551938
881	0.0431791696
882	0.04315129279
883	0.0431027248
884	0.04306057551
885	0.04301822196
886	0.04299214224
887	0.04295933566
888	0.04287149384
889	0.04279906263
890	0.04276045543
891	0.04271877146
892	0.04267551719
893	0.04262450164
894	0.04260385975
895	0.04254210425
896	0.04249310816
897	0.04243159138
898	0.04241667693
899	0.04236248279
900	0.04230738531
901	0.04225777119
902	0.04220403438
903	0.04214097489
904	0.04207823165
905	0.04205404458
906	0.0419688206
907	0.04189143137
908	0.04184403327
909	0.04177548528
910	0.04171496339
911	0.04167735494
912	0.04159517336
913	0.04154973021
914	0.04152129179
915	0.04146544922
916	0.04143472459
917	0.04137203499
918	0.04132363448
919	0.04127673826
920	0.04124332166
921	0.04115562644
922	0.04112201597
923	0.0410387859
924	0.04096753353
925	0.04092738444
926	0.04089814367
927	0.04084352456
928	0.0408066243
929	0.04072839612
930	0.04070077121
931	0.04066241934
932	0.04063630311
933	0.04059675703
934	0.0405269057
935	0.04048373251
936	0.04045257072
937	0.04040622651
938	0.04035259645
939	0.04031104021
940	0.04023978322
941	0.04019017465
942	0.04017824553
943	0.04016666815
944	0.04008715739
945	0.04004208512
946	0.04004029757
947	0.04002877412
948	0.03999877431
949	0.03993349247
950	0.03987968499
951	0.03980870444
952	0.03980594869
953	0.03979558274
954	0.03976286685
955	0.0397095467
956	0.039681843
957	0.03959944081
958	0.03955088452
959	0.03953419895
960	0.03944933447
961	0.03940715833
962	0.03939265647
963	0.03935043208
964	0.03930703487
965	0.03927811265
966	0.03926211163
967	0.03918893896
968	0.03915919852
969	0.03912412136
970	0.03911464641
971	0.03911109269
972	0.03907007505
973	0.03903855937
974	0.03899507634
975	0.03896391533
976	0.03891908712
977	0.03888319197
978	0.03882433013
979	0.03882176777
980	0.03875877125
981	0.03870904641
982	0.03868914779
983	0.03868579561
984	0.03866360016
985	0.03863909774
986	0.0386033348
987	0.03855092562
988	0.03851406335
989	0.03846086723
990	0.03842690742
991	0.03836023639
992	0.0383185129
993	0.03830071867
994	0.03827920559
995	0.03823811334
996	0.03822187287
997	0.03818179878
998	0.03811366721
999	0.03805766672
11982513
999	0.03506788571
